"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
1005735	"helaaspindakaas"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2453177	"werk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1626993	"marketing"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1765763	"verloren"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
278682	"hr business partner"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1141590	"humancapital"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
440486	"weuro"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
464622	"beautiful"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2338801	"lelystad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1832493	"floradecora"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1368868	"inspiratie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1813346	"bierkade"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
440404	"taalnazi"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
861558	"schrijfkalender"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
348408	"sint"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
621058	"tu delft"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1605174	"esf"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
795799	"win"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1392716	"achterhoek"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1386146	"beerput nederland"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2490064	"fd"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1339446	"npo"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2467403	"amir"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1131751	"pauw"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
340186	"randstad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1916468	"pokemongo"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2467907	"dathelpt"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1924575	"rupsendoder"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2239915	"grou"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2431029	"yarden"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
916365	"innovatie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1256759	"job"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2022610	"top"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1524659	"sbs"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1626113	"eklasse"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
94734	"cda"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
54288	"tweaja"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2289678	"fc twente"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
716762	"gangmakers"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
817296	"ha shogeschool"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1140349	"friet"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
626907	"scrum"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
503188	"universiteitsnetwerk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2176444	"toegeven"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2285541	"radar"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1991165	"utrecht"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
242959	"schiedam"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
594264	"a"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
94478	"centric_ nl"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1778162	"weloveentrepreneurs"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
184948	"hendrik ido ambacht"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
260621	"vk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
383740	"john williams"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2271893	"ajax"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1867353	"maart"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1883325	"win"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2181131	"wimbledon"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2146067	"manager"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
369567	"farmrewards"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
369429	"geldrop"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
61748	"tilburg u"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1697648	"vvd"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
732652	"kerkkat"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
97903	"radiotelescoop"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
875842	"davinci"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
889454	"anthonyfokkerweg"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1131836	"panama"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
989260	"euro"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
565823	"dordrecht"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2022565	"korenmolen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1659443	"aandachtig"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1510132	"gordon"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2351424	"radio"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1135056	"brabant"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
